,Names,block_reduce
0, Arp240,10
1, Arp290,18
2, Arp142,8
3, Arp318,8
4, Arp256,8
5, UGC11751,8
6, Arp104,32
7,Heart,2
8, Arp285,22
9, Arp214,90
10, NGC4320,2
11, NGC4669,4
12, Arp255,6
13, Arp82,14
14, Arp239,2
15, Arp199,4
16, Arp57,10
17,Pair18,4
18, Arp247,6
19, Arp241,2
20, Arp313,16
21, Arp107,10
22, Arp294,12
23, Arp172,4
24, Arp302,6
25, Arp242,6
26, Arp72,12
27, Arp101,18
28, Arp58,8
29, Arp105,8
30, Arp97,10
31, NGC4017,42
32, Arp106,6
33, NGC2802,6
34, Arp301,6
35, Arp89,18
36, Arp87,8
37, Arp191,4
38, Arp237,2
39, Arp181,6
40, Arp238,4
41,MCG+09-20-082,2
42, Arp297,6
43, NGC5753,14
44, Arp173,8
45, Arp84,14
46, UGC10650,2
47, Arp112,6
48, Arp274,6
49, Arp146,2
50, Arp143,8
51, Arp70,6
52, Arp218,6
53,ViolinClef,4
