,Prim_RA,Prim_DEC,Sec_RA,Sec_DEC,Names
0,204.9703333,0.839844444,204.9902083,0.830666667,Arp240
1,30.95716667,14.73864444,30.93729167,14.70905556,Arp290
2,144.4333333,2.760163889,144.437875,2.746886111,Arp142
3,32.35233333,-10.13600556,32.33729167,-10.13315833,Arp318
4,4.708583333,-10.361625,4.711833333,-10.37695,Arp256
5,322.2472783,11.38196919,322.2427587,11.36650271,UGC11751
6,203.04275,62.76733611,203.0398333,62.70015,Arp104
7,238.2859583,54.14735,238.2870417,54.14896111,Heart
8,141.0124167,49.20393889,141.03525,49.2486,Arp285
9,173.1475,53.06667,173.456624,53.125675,Arp214
10,185.7402917,10.547975,185.7411667,10.54915556,NGC4320
11,190.9558333,54.90456111,190.953875,54.89616111,NGC4669
12,148.2867906,7.866167172,148.2932549,7.873482323,Arp255
13,122.80625,25.20661111,122.8146667,25.17885833,Arp82
14,205.413875,55.67073056,205.4191667,55.67385,Arp239
15,214.2605417,36.57129444,214.26775,36.57529722,Arp199
16,199.1975674,14.42769116,199.2158016,14.41690732,Arp57
17,206.2099758,13.92138157,206.2124828,13.92762096,Pair_18
18,125.89175,21.34732778,125.886,21.33809167,Arp247
19,219.460375,30.48319722,219.462625,30.479775,Arp241
20,179.401874,32.2777399,179.4337722,32.29360354,Arp313
21,163.0619583,30.05786389,163.073125,30.072575,Arp107
22,174.9268333,31.90929444,174.933125,31.93126944,Arp294
23,241.3879167,17.60128611,241.3907917,17.59357778,Arp172
24,224.252875,24.61760556,224.2516667,24.6067,Arp302
25,191.54225,30.73128889,191.5458333,30.72224722,Arp242
26,236.7427544,17.88458157,236.722123,17.87232298,Arp72
27,241.13225,14.81913611,241.1181667,14.78210278,Arp101
28,127.9902917,19.21122778,128.000875,19.20155833,Arp58
29,167.80375,28.71178056,167.8045833,28.696225,Arp105
30,181.4394583,31.05861111,181.4397917,31.07908056,Arp97
31,179.6900417,27.45203889,179.6347917,27.52802222,NGC4017
32,183.8992917,28.17772778,183.9040417,28.169525,Arp106
33,139.1726346,18.96371111,139.1821118,18.95484444,NGC2802
34,167.464375,24.26161111,167.4775417,24.25819444,Arp301
35,130.666,14.28561389,130.697875,14.26498611,Arp89
36,175.1837083,22.42939167,175.185875,22.44674167,Arp87
37,166.8368333,18.43294444,166.831875,18.42978056,Arp191
38,141.931125,12.28725,141.93525,12.288225,Arp237
39,157.0693333,79.82349167,157.0725,79.81300278,Arp181
40,198.8796422,62.1292197,198.8836533,62.12464798,Arp238
41,181.1646667,52.95717778,181.1622917,52.95464167,MCG+09-20-082
42,221.331875,38.73127222,221.3178333,38.72864167,Arp297
43,221.3285417,38.805725,221.3427083,38.78008889,NGC5753
44,222.8720833,9.334830556,222.8663333,9.321913889,Arp173
45,209.6581667,37.42467778,209.646375,37.45328889,Arp84
46,255.0285417,23.13154722,255.029,23.12751111,UGC10650
47,0.361458333,31.43341389,0.371458333,31.44196111,Arp112
48,218.7863333,5.358805556,218.7765833,5.356466667,Arp274
49,1.686625,-6.636922222,1.683208333,-6.635019444,Arp146
50,116.7207083,39.03211111,116.726,39.015025,Arp143
51,20.867875,30.78446667,20.86354167,30.77196667,Arp70
52,238.403625,18.60960833,238.3929167,18.60372222,Arp218
53,1.064208333,3.383833333,1.067291667,3.3769,Violin_Clef
